number of times tweeting, user_id
2, 1554383863
1, 4379129668
1, 3017314245
1, 119483039
1, 2921997491
1, 4397649329
1, 4734780769
1, 2571957018
1, 4749760214
1, 824195239
1, 3324350409
1, 4140208338
1, 1253661452
1, 3637419262
1, 340272403
1, 416330256
1, 2687641143
1, 67476000
1, 3305408138
1, 3145222787
1, 2366505901
1, 822276259
1, 402574816
1, 4786608563
1, 615508173
1, 1290271154
1, 73696680
1, 4844271973
1, 1222859438
1, 708295696743591936
1, 595959347
1, 228737945
1, 2874103279
1, 2427806219
1, 610517218
1, 1033022754
1, 605876692
1, 340031955
1, 4895371864
1, 2453828320
1, 2883423122
1, 779471060
1, 172868044
1, 27121766
1, 4715517509
1, 2482220744
1, 271617998
1, 368316565
1, 3972169409
1, 520432252
1, 351748302
1, 2887571959
1, 1541393928
1, 1317439501
1, 582181925
1, 705024448735240192
1, 1330683050
1, 3691171213
1, 3156971455
1, 2907976966
1, 2965006660
1, 4601580835
1, 318568946
1, 1017410720
1, 741188372
1, 3004713256
1, 50631718
1, 375326474
1, 2382402376
1, 125953305
1, 395052119
1, 163936001
1, 718272643
1, 3248027428
1, 152737034
1, 77709830
1, 704982067818405888
1, 2374019250
1, 1635470563
1, 3434052766
1, 21237766
1, 3324018855
1, 3327688622
1, 2681061134
1, 347620605
1, 40555301
1, 3145412824
1, 520843974
1, 3606426612
1, 458938830
1, 18143327
1, 1059146503
1, 339418640
1, 526581265
1, 7406952
1, 281218050
1, 3092769558
1, 275596659
1, 3245331576
