total count,percent of total,activties count,percent of activities,tokens,n_gram
338,0.000740,338,0.006576,بأمر,1grams
338,0.000740,338,0.006576,ملكة,1grams
338,0.000740,338,0.006576,1872,1grams
338,0.000740,338,0.006576,كرستيان,1grams
338,0.000740,338,0.006576,صنعت,1grams
338,0.000740,338,0.006576,مكونة,1grams
338,0.000740,338,0.006576,كلايف,1grams
336,0.000736,336,0.006537,perdón,1grams
335,0.000734,335,0.006518,rico,1grams
334,0.000732,334,0.006499,things,1grams
332,0.000727,332,0.006460,read,1grams
329,0.000721,319,0.006207,vanilla,1grams
327,0.000716,326,0.006343,hora,1grams
323,0.000708,323,0.006285,hombre,1grams
321,0.000703,321,0.006246,llama,1grams
321,0.000703,321,0.006246,8曲目perfume,1grams
320,0.000701,320,0.006226,prfm,1grams
318,0.000697,316,0.006148,isso,1grams
318,0.000697,316,0.006148,soul,1grams
316,0.000692,316,0.006148,echaron,1grams
314,0.000688,314,0.006109,@Iifepost,1grams
314,0.000688,314,0.006109,@prfm_videobot,1grams
313,0.000686,313,0.006090,falta,1grams
312,0.000683,309,0.006012,smells,1grams
310,0.000679,310,0.006032,releasing,1grams
305,0.000668,305,0.005934,mario,1grams
303,0.000664,303,0.005895,caminando,1grams
301,0.000659,291,0.005662,good,1grams
301,0.000659,301,0.005856,liverpoolga,1grams
296,0.000648,296,0.005759,forget,1grams
295,0.000646,294,0.005720,essence,1grams
294,0.000644,294,0.005720,mulher,1grams
291,0.000637,291,0.005662,emporium,1grams
290,0.000635,290,0.005642,amava,1grams
290,0.000635,254,0.004942,mais,1grams
289,0.000633,289,0.005623,@JosephKahn,1grams
287,0.000629,287,0.005584,romantics,1grams
285,0.000624,284,0.005526,bombs,1grams
283,0.000620,256,0.004981,live,1grams
282,0.000618,282,0.005487,socks,1grams
282,0.000618,282,0.005487,died,1grams
282,0.000618,282,0.005487,videos,1grams
282,0.000618,282,0.005487,known,1grams
280,0.000613,280,0.005448,kahn,1grams
280,0.000613,280,0.005448,#ちはやふる,1grams
279,0.000611,279,0.005428,fuzzy,1grams
279,0.000611,279,0.005428,obituary,1grams
279,0.000611,279,0.005428,joseph,1grams
279,0.000611,279,0.005428,sweatshirts,1grams
278,0.000609,278,0.005409,wrong,1grams
278,0.000609,278,0.005409,chorar,1grams
278,0.000609,278,0.005409,mina,1grams
274,0.000600,274,0.005331,hashtag,1grams
274,0.000600,274,0.005331,本日よりjfn系列全国ネットfm番組,1grams
273,0.000598,273,0.005312,fm大分からスタートです,1grams
273,0.000598,273,0.005312,初回放送局は11,1grams
272,0.000596,272,0.005292,@grilcode,1grams
271,0.000594,271,0.005273,e5ejdijpar,1grams
271,0.000594,271,0.005273,dafuq,1grams
270,0.000591,270,0.005253,hashtags,1grams
270,0.000591,270,0.005253,ofensivo,1grams
270,0.000591,270,0.005253,chiste,1grams
269,0.000589,269,0.005234,morrer,1grams
267,0.000585,266,0.005176,limited,1grams
265,0.000581,252,0.004903,homem,1grams
262,0.000574,262,0.005098,best_perfume,1grams
261,0.000572,261,0.005078,اضغط,1grams
261,0.000572,261,0.005078,معنا,1grams
261,0.000572,261,0.005078,سناب,1grams
261,0.000572,261,0.005078,تواجدكم,1grams
261,0.000572,261,0.005078,يسعدنا,1grams
258,0.000565,258,0.005020,department,1grams
258,0.000565,257,0.005000,lado,1grams
258,0.000565,250,0.004864,muito,1grams
257,0.000563,158,0.003074,versace,1grams
256,0.000561,254,0.004942,shopping,1grams
253,0.000554,253,0.004923,introducing,1grams
252,0.000552,252,0.004903,w3odkcniaz,1grams
251,0.000550,251,0.004884,ggamuwoqrk,1grams
251,0.000550,251,0.004884,@SpongebobMemory,1grams
251,0.000550,251,0.004884,ejeodov9k8,1grams
249,0.000545,240,0.004670,time,1grams
247,0.000541,199,0.003872,mesmo,1grams
245,0.000537,244,0.004747,album,1grams
244,0.000535,244,0.004747,ropa,1grams
241,0.000528,241,0.004689,ciúmes,1grams
240,0.000526,240,0.004670,@chihaya_koshiki,1grams
240,0.000526,235,0.004572,spring,1grams
239,0.000524,239,0.004650,love8号,1grams
239,0.000524,230,0.004475,wear,1grams
239,0.000524,238,0.004631,esas,1grams
234,0.000513,234,0.004553,favorite,1grams
232,0.000508,231,0.004495,toilette,1grams
232,0.000508,232,0.004514,本日発売,1grams
231,0.000506,231,0.004495,末次由紀,1grams
230,0.000504,230,0.004475,wanted,1grams
228,0.000499,228,0.004436,オールキャストピンナップつき,1grams
228,0.000499,228,0.004436,がより待ち遠しくなるよ,1grams
228,0.000499,228,0.004436,をより楽しめて,1grams
228,0.000499,220,0.004280,life,1grams
228,0.000499,228,0.004436,対談掲載,1grams
228,0.000499,228,0.004436,ここでしか見られない,1grams
227,0.000497,227,0.004417,works,1grams
226,0.000495,226,0.004397,estas,1grams
225,0.000493,225,0.004378,spirit,1grams
224,0.000491,211,0.004105,today,1grams
223,0.000489,221,0.004300,room,1grams
223,0.000489,218,0.004242,esse,1grams
220,0.000482,220,0.004280,tenes,1grams
219,0.000480,219,0.004261,tire,1grams
218,0.000478,216,0.004203,passar,1grams
218,0.000478,218,0.004242,#perfume_um,1grams
218,0.000478,212,0.004125,release,1grams
216,0.000473,215,0.004183,perfumes,1grams
215,0.000471,212,0.004125,pessoa,1grams
215,0.000471,215,0.004183,العطور,1grams
214,0.000469,213,0.004144,usando,1grams
213,0.000467,208,0.004047,está,1grams
213,0.000467,213,0.004144,motor,1grams
212,0.000464,212,0.004125,anytime,1grams
212,0.000464,212,0.004125,sube,1grams
212,0.000464,212,0.004125,sinto,1grams
212,0.000464,212,0.004125,prayer,1grams
211,0.000462,211,0.004105,#MSGPrays,1grams
211,0.000462,211,0.004105,pleases,1grams
211,0.000462,211,0.004105,products,1grams
211,0.000462,211,0.004105,@glofuI,1grams
211,0.000462,211,0.004105,embodies,1grams
211,0.000462,211,0.004105,cualquiera,1grams
211,0.000462,211,0.004105,@CiumentaTwittou,1grams
210,0.000460,210,0.004086,poured,1grams
210,0.000460,204,0.003969,gusta,1grams
209,0.000458,209,0.004066,motorsport,1grams
209,0.000458,204,0.003969,flor,1grams
208,0.000456,208,0.004047,essences,1grams
208,0.000456,208,0.004047,animo,1grams
208,0.000456,208,0.004047,fija,1grams
208,0.000456,208,0.004047,flaca,1grams
208,0.000456,204,0.003969,woman,1grams
207,0.000453,207,0.004028,lcx6lftgpc,1grams
207,0.000453,207,0.004028,@minaforrisima,1grams
206,0.000451,206,0.004008,mujer,1grams
206,0.000451,206,0.004008,rubber,1grams
205,0.000449,204,0.003969,here,1grams
204,0.000447,204,0.003969,@girlposts,1grams
202,0.000443,202,0.003930,@Porsche,1grams
200,0.000438,200,0.003891,fuck,1grams
198,0.000434,198,0.003852,vida,1grams
197,0.000432,197,0.003833,#الكويت,1grams
195,0.000427,195,0.003794,@SOMEXlCAN,1grams
195,0.000427,192,0.003736,mini,1grams
194,0.000425,194,0.003775,oxnllfagpr,1grams
194,0.000425,190,0.003697,floral,1grams
192,0.000421,192,0.003736,perfume_sh,1grams
192,0.000421,192,0.003736,العطورات,1grams
192,0.000421,192,0.003736,عروضنا,1grams
192,0.000421,192,0.003736,درجه,1grams
192,0.000421,192,0.003736,للتواصل0096599945583,1grams
