number of retweets, user id, username(s)
2622, 492988432 ,best_perfume
1188, 234213419 ,deivimagalhaes
1169, 497659124 ,perfume_staff
686, 561684253 ,hornyfacts
616, 1228066862 ,drvgvisual
571, 251343368 ,screamau
528, 869853169 ,hiss_perfume
508, 226690054 ,sincerelytumblr
459, 57135269 ,tryna_be_famous
449, 259132164 ,girlsnotebook
396, 3379902017 ,arrombalizado
394, 2464894184 ,shiwantsthec
358, 611959284 ,freakingtrue
352, 909909834 ,haniszzs
314, 3145933785 ,prfm_videobot
314, 404916846 ,iifepost
284, 28595930 ,josephkahn
272, 2675405208 ,grilcode
251, 1120654448 ,spongebobmemory
237, 3252408332 ,chihaya_koshiki
211, 626084809 ,ciumentatwittou
211, 2919197934 ,glofui
207, 2966005690 ,minaforrisima
204, 132774626 ,girlposts
199, 57016932 ,porsche
194, 818941136 ,somexlcan
191, 4414869928 ,naaadeer6
181, 165511377 ,andyrichter
177, 118922920 ,tower_shibuya
162, 196084067 ,sol_info
152, 83836380 ,spaceshowertv
151, 352145373 ,whattheffacts
142, 3102992882 ,vicky_bawa17
123, 2852359916 ,gurmeetramrahim
120, 3190294271 ,jarumamagazine
112, 2863290426 ,atal27599
112, 1664372563 ,prfm_neta_bot
107, 457501640 ,citouoprojota
104, 974047837 ,fairyjinhwan_
103, 818231382 ,love_belfast
103, 321506446 ,ancientambiance
99, 299922971 ,nosironico
98, 96090899 ,perfume_pta
96, 2608610114 ,imrahulhussain
92, 1187647735 ,dory
91, 3214621054 ,stylefashionhub
90, 103880192 ,serubora
89, 798234950 ,thetumblrposts
89, 456147820 ,onlinepravcs
85, 600029236 ,50nerdsofgrey
85, 134951801 ,gringatears
85, 4688693126 ,pretty_packages
84, 336611577 ,asadowaisi
81, 327937420 ,haya1209
78, 204887235 ,femaletexts
76, 4442231654 ,donchan_perfume
76, 1031977476 ,pibesfiesteros_
76, 2794274119 ,twtwanitaa
72, 1223444413 ,ghh_alves
70, 158487331 ,neymarjr
69, 739809871 ,thesexology
64, 176345302 ,tower_kobe
62, 2921803460 ,dreamworld2222
62, 276997688 ,arma3official
62, 711923363686391808 ,prfmjpnmao
58, 92686837 ,ro69_jp
58, 1400821069 ,aguusgiova
57, 1406013852 ,_jack_miller_
56, 3120104277 ,leandrooasiilva
56, 1418255024 ,firstdates
56, 7550252 ,eigacom
55, 708411822 ,girly_pictures
55, 3229691849 ,dreamfes_ts
53, 403020498 ,lowkeypoetic
52, 1221670656 ,mrtaytoni
51, 707109677721452545 ,primaniacs_pr
51, 2580674546 ,purplebperfumes
50, 315799759 ,beyondbrokendep
49, 700394893 ,pedrofobico_
49, 132821280 ,asmart_shop
47, 356598974 ,viralbuzzes
46, 448673421 ,lespros_sec4
46, 698941308006768641 ,_kaicealea
46, 2293350324 ,putaschetas
45, 172053126 ,staustellbrew
43, 203628181 ,salesgossip
41, 1206103616 ,commonblackgiri
41, 1465030585 ,twelebposts
39, 468336766 ,shonamackie
38, 217366872 ,tower_hiroshima
37, 615072380 ,nachulove0123
37, 3407125479 ,vspfx
37, 4564207872 ,perfume75144241
37, 3085747316 ,prfm_k_a_n
36, 4881608451 ,kotayama1215
36, 1198988510 ,commonwhitegiri
36, 968587398 ,aspositividade
35, 2629286872 ,spaidermeme
35, 763756 ,qc
35, 136931604 ,1direction_x
34, 24929621 ,parishilton
33, 1687110474 ,wasquita
33, 184505036 ,elmachodebarbie
32, 2278335006 ,perfume_ch
32, 265526350 ,aoky_
31, 715498008935149568 ,prfm_____love
31, 2704085575 ,gfrcbr
30, 37433838 ,jamesonwhiskey
29, 2374490028 ,_homecat_pg
29, 2854470396 ,sakshiinsan1
29, 34482461 ,imseeraw
29, 316433317 ,sakurabakaname
29, 1072532478 ,andojodiendo
28, 2848182334 ,butterfliessoap
28, 138462213 ,thepaulbutcher
28, 424545671 ,sxbredosis
28, 2994136113 ,gowlive
27, 2866582638 ,poojaag96055304
27, 4878236248 ,kidswritejokes
26, 4515121175 ,perfumeanorak
26, 1967694642 ,cosalas__
26, 2489304008 ,jpn_glitter
25, 63371535 ,kokubucamera
25, 18622184 ,comic_natalie
25, 2339918148 ,df20081119
25, 479055080 ,lucianaahelena
25, 227121370 ,girlnotes
25, 1360896643 ,ro69_hogaku
25, 1311583800 ,tequierodulcee
24, 2415101431 ,ib7bki
24, 2337130332 ,porscheraces
24, 414946220 ,scroll_in
24, 2208131836 ,blissfoxes
23, 2758644254 ,fragrance_1017
23, 605124237 ,mrpeaksnvalleys
23, 614703722 ,instantturnon
23, 3343989552 ,fragranceofficl
23, 17306975 ,livedoornews
23, 506640338 ,imgmodels
23, 3325690613 ,chetafiestera
23, 1625894137 ,junasciimento
22, 18447841 ,churchillthedog
22, 23456535 ,bataarofficial
22, 91018706 ,dulceonlinenews
22, 2220530089 ,guasonesrockna
21, 239298700 ,_ashrull
21, 4310446518 ,shiki_fragrance
21, 170089818 ,textologa
21, 905363521 ,thecheerbook
21, 2853320617 ,amaikoito0921
20, 989703450 ,gallardojose_
20, 2752096708 ,naiocrush
20, 4703587136 ,abcroyoo
20, 3281979726 ,wa_nocchi_per
