number of times tweeting, user_id
288, 2610266460
202, 208346164
200, 775505611
141, 2640514956
136, 406832944
134, 2653975722
133, 721421191
128, 2382097368
126, 2382103848
122, 2640515821
120, 2653983282
120, 317154043
120, 95338994
116, 2640567036
115, 2654008777
96, 710730249332531200
95, 3168292460
90, 3533100683
82, 3229691849
73, 544007962
69, 516930503
64, 702835117509603328
62, 1353788083
61, 4539827362
60, 4245359656
58, 1495619060
58, 1562439180
57, 596576616
56, 4156184713
53, 565314588
52, 3145933785
50, 4881608451
47, 710542479335026689
46, 414391353
46, 1385551296
45, 4788759504
44, 861437070
44, 537196670
43, 713740753537617920
42, 384322126
41, 444661503
40, 715191721085181958
39, 857396228
39, 1575437250
39, 1200038798
38, 492088219
37, 4564207872
37, 2749133324
36, 513386510
35, 1285675914
34, 1203472140
33, 4773728689
32, 138318736
32, 2581471538
31, 1372850047
31, 4442231654
31, 925798520
30, 603576097
30, 1943135575
30, 1303131996
30, 398536883
29, 1369837932
29, 1253680872
28, 511827259
28, 4214507778
27, 4342133962
27, 376845669
26, 1070142828
26, 1520231754
26, 569399467
26, 2580674546
25, 1008524616
25, 1117055563
25, 452912886
25, 707469980
25, 2196182390
25, 1275507488
24, 10248352
24, 1254085542
24, 3276611900
24, 567413655
24, 1008431419
24, 255909424
24, 1416074995
24, 970392576
24, 1197780474
23, 56927742
23, 1008571249
23, 414391612
23, 3277358322
23, 413115173
23, 3724541959
23, 3019500240
22, 1489372986
22, 2339918148
22, 3250213453
22, 3636857656
22, 343065216
22, 2984316458
22, 715484408065622017
21, 2489304008
21, 712244055594258432
21, 4891553293
21, 601415563
20, 3887534354
20, 1254090594
20, 103273658
20, 1456169300
20, 239012893
20, 713645461123366914
20, 4078181546
19, 1889663310
19, 579985327
19, 2512094238
19, 2653713571
19, 2517243384
19, 1175760770
19, 3288876074
19, 733402387
18, 3825101599
18, 2405571759
18, 1109642882
18, 523220105
18, 3258434821
18, 2999096172
18, 3230360108
18, 893484164
18, 3174748485
18, 1277994266
17, 2278335006
17, 704359094421852160
17, 708312842341056512
17, 1611311448
17, 2847085813
17, 569964427
17, 87248969
16, 1556804785
16, 2173325376
16, 2337767420
16, 711209067528593409
16, 273203074
16, 2199208332
16, 2703921841
16, 74806931
16, 137306752
16, 19895729
15, 65104337
15, 2794274119
15, 1404716562
15, 708229802122027008
15, 438593280
15, 709692216445263872
15, 4188422052
15, 620017112
15, 2855169960
15, 2999480551
14, 1868940492
14, 1368600361
14, 420792694
14, 2583777853
14, 4891604171
14, 3019298316
14, 561544502
14, 3292767710
14, 1037109290
14, 452661888
13, 77723872
13, 3689631193
13, 535559595
13, 4631608388
13, 3106856526
13, 1064512544
13, 4345675219
13, 4801326637
13, 3287353386
13, 2291074855
12, 4802517546
12, 1201083656
12, 3034019870
12, 4795400754
12, 3671502620
12, 633894019
12, 4770249377
12, 2359486164
12, 707846673205108736
12, 202584475
12, 4133652921
12, 414391745
12, 152227119
12, 1049211788
12, 2303046745
12, 1496775595
12, 2792985289
12, 1420687622
12, 15162193
12, 2645406480
12, 3530651534
12, 430566091
11, 4897128438
11, 2707760066
11, 697789255741939713
11, 2408544512
11, 3269795090
11, 3032577950
11, 521909459
11, 294008831
11, 4817320338
11, 4678086792
11, 4700808492
11, 271755871
11, 112779773
11, 3263000486
11, 1536374556
10, 21501453
10, 3101635657
10, 708979122664509440
10, 3780911594
10, 942769964
10, 444417764
10, 709390966331822083
10, 4833182109
10, 3103107764
10, 2468438857
10, 310832001
10, 317707214
10, 708753612009148416
10, 2888624437
10, 395146202
10, 2927451840
10, 513331295
10, 2857089212
10, 2552915754
10, 3139421108
10, 1242438126
10, 217608280
10, 2985483272
10, 3313111622
10, 3972961523
10, 2549219814
10, 1672270171
10, 3003939643
10, 715676224505450497
10, 3060860305
10, 4882880605
10, 1307706822
10, 3289875440
10, 1256929657
10, 3836787448
9, 3301086579
9, 3870367815
9, 2475705388
9, 3827418612
9, 4906589250
9, 1474517899
9, 707881644364079104
9, 2344394912
9, 2582750107
9, 2582696984
9, 3394286199
9, 2457963259
9, 232635988
9, 703183878991679492
9, 571782485
9, 2541226891
9, 4764514035
9, 706943966978187264
9, 3138814885
9, 715504726972850176
9, 4747837694
9, 107733837
9, 4810905738
9, 1966423003
9, 626205745
9, 1449654128
9, 383802254
9, 69428290
9, 2482936020
9, 2154612860
9, 3707401574
9, 124172948
9, 434950151
9, 1025948389
9, 2703145610
9, 465328989
9, 2440581586
9, 2412620264
9, 2745196964
9, 249223622
9, 1331555509
9, 4185488788
9, 2603970306
9, 2378466366
9, 2382176172
9, 3328014128
9, 3268669494
9, 195651473
9, 51350746
9, 94352365
8, 414391600
8, 541606055
8, 710409997436358656
8, 2292428737
8, 1034375522
8, 4611967512
8, 2237430127
8, 2837958612
8, 2450653006
8, 3015991580
8, 190492671
8, 4430806640
8, 536055072
8, 4818227772
8, 2292459852
8, 603399409
8, 2810048323
8, 77371621
8, 4244270593
8, 2392024922
8, 618975778
8, 40272074
8, 706264509267050496
8, 3283104822
8, 515048740
8, 2544913858
8, 701774963695439872
8, 829118810
8, 704127308177670144
8, 2351254477
8, 3180828613
8, 2654763241
8, 1148346614
8, 707202307981594624
8, 1370267437
8, 426295131
8, 1253329146
8, 1572952447
8, 705942426116952064
8, 2269158696
8, 274486631
8, 182335299
8, 2292447403
8, 1882137433
8, 3859107852
8, 4681175305
8, 2814038886
8, 3681922694
8, 3020399357
8, 1372781946
8, 610480301
8, 3067332576
8, 780641772
8, 717764796
8, 410457085
8, 4659318139
8, 172702197
8, 1617134826
8, 2993243317
8, 1260033330
8, 60805416
8, 2288800031
8, 706958598400675840
8, 1419532117
8, 3879474863
8, 3057619070
8, 712420478892118016
8, 3248249652
7, 66083514
7, 710804078574448640
7, 264494683
7, 201203253
7, 2356251847
7, 3890207239
7, 1258448168
7, 2878685252
7, 4919311028
7, 83077517
7, 96752618
7, 747005984
7, 708567395107938304
7, 4481454887
7, 2492627221
7, 3079704192
7, 1476999306
7, 2181779480
7, 3437743636
7, 3148998894
7, 3841657812
7, 3287301884
7, 2894650159
7, 601941030
7, 2429800362
7, 3189183787
7, 141457330
7, 78349708
7, 1265812796
7, 311490630
7, 2606119363
7, 1574829444
7, 2703620540
7, 2858646523
7, 2432025337
7, 75022220
7, 3998979325
7, 3346613112
7, 592785076
7, 2798601654
7, 3314486142
7, 2245529258
7, 3088727848
7, 1861342356
7, 200778975
7, 145639373
7, 2500793992
7, 168767481
7, 2356309170
7, 303036121
7, 133712609
7, 710411183044501504
7, 1411771579
7, 8962322
7, 3236907962
7, 113838154
7, 912210889
7, 1434470250
7, 4575693913
7, 3108875023
7, 39553219
7, 1855932888
7, 18848562
7, 1721054510
7, 121422625
7, 4287249085
7, 4871786766
7, 1253380256
7, 414511223
7, 2781535836
7, 2221130243
7, 3309875058
7, 1862573791
7, 3233405310
7, 4858498640
7, 353527744
7, 703058772671922176
7, 2173607844
7, 4670335202
7, 1266570559
7, 3225110792
7, 702847088216768512
7, 1199401543
7, 2876499595
7, 447320219
7, 3758085912
7, 3190304958
7, 2176279365
7, 715383883584253954
7, 497659124
7, 4687168789
7, 4859444280
7, 96090899
6, 3243468222
6, 1765737140
6, 702830794973130752
6, 33681792
6, 77247521
6, 18840530
6, 443171350
6, 165743632
6, 2993015343
6, 3122438024
6, 2740623991
6, 602457297
6, 2889005472
6, 714695685111750657
6, 1123274612
6, 3310975254
6, 2337898902
6, 4832351643
6, 79164934
6, 3932161752
6, 705775442817486848
6, 3035277332
6, 2573700475
6, 2993084836
6, 610589886
6, 1076583728
6, 4686547903
6, 473163165
6, 1675480188
6, 2984636973
6, 1624341817
6, 178692764
6, 704945249018376192
6, 712061405755617280
6, 2592028033
6, 825539509
6, 2699884200
6, 1552558699
6, 3317377220
6, 246155245
6, 2647368241
6, 1052155734
6, 4844754732
6, 4736241494
6, 714644421904498688
6, 2693703127
6, 3316814341
6, 1168174080
6, 151332515
6, 2424302708
6, 2379496327
6, 121933095
6, 2704085575
6, 4750608659
6, 2435019266
6, 135686847
6, 920722970
6, 617324033
6, 3161470441
6, 2811407598
6, 4717006575
6, 754875230
6, 2303837599
6, 559475458
6, 2645343493
6, 2592003588
6, 715470264650244096
6, 382986563
6, 3140293753
6, 1131099284
6, 1667757000
6, 579240626
6, 447387307
6, 2998436910
6, 82295652
6, 974286043
6, 2363362494
6, 99709004
6, 708539323012919297
6, 1175380562
6, 3197510012
6, 4310195788
6, 803169206
6, 1535160902
6, 1119365665
6, 4728024269
6, 4245710536
6, 388280075
6, 4357898237
6, 713827003057573888
6, 944301566
6, 291731552
6, 3061442329
6, 323664054
6, 738098827
6, 4748556679
6, 142229644
6, 1866913100
6, 180567911
6, 1702971758
6, 3166173548
6, 3089358896
6, 1675236908
6, 2870624893
6, 2359504943
6, 562660137
6, 881609544
6, 715721651510378496
6, 2664704778
6, 710406430860292097
6, 119340071
6, 2582247589
6, 701553027283456001
6, 4761603311
6, 226910224
6, 2679295992
6, 267527011
6, 3339613967
6, 1087515774
6, 702488952339611648
6, 4746721408
6, 2949759324
6, 3214621054
6, 146083334
6, 3130328078
6, 1533018493
6, 2590260486
6, 971811752
6, 2438858652
6, 2591995860
6, 457945659
6, 576255694
6, 27271640
6, 2291821534
6, 4779346752
6, 2791139387
6, 3317401206
6, 2986968163
6, 1457206381
6, 703407196311171072
6, 3214253769
6, 2849717451
6, 158319961
6, 2967524131
6, 210531437
6, 4310446518
6, 67346410
6, 2546621017
6, 3318946189
6, 3271534416
6, 2543565973
6, 1838653416
6, 2476190202
6, 2552175115
6, 71847739
6, 616612929
6, 4681129748
6, 3009694398
6, 2287698956
6, 3934062854
6, 2954253535
6, 4830165415
6, 2403406636
5, 707528067279888384
5, 480758910
5, 769075759
5, 2164669935
5, 2250699487
5, 1622792966
5, 3055692876
5, 3929255063
5, 1055078672
5, 2179959624
5, 1139507346
5, 210144332
5, 3316403405
5, 2339429076
5, 2781862513
5, 1310352374
5, 2949572725
5, 2922693673
5, 596670005
5, 2562140430
5, 2493283220
5, 3303658560
5, 108655856
5, 4853767853
5, 1934009796
5, 394619813
5, 2492791908
5, 3242178049
5, 2492870442
5, 3869831661
5, 2827923958
5, 2903795559
5, 702792919367884801
5, 4835057965
5, 2943391
5, 9398742
5, 2493279554
5, 2490417512
5, 428894427
5, 4259151935
5, 4688693126
5, 2313708263
5, 2912959524
5, 351651614
5, 2492869208
5, 3182983975
5, 4721597378
5, 2422309974
5, 708108560106987520
5, 3225818899
5, 2492890129
5, 615072380
5, 112649416
5, 2492868344
5, 3869956757
5, 22543871
5, 2492873852
5, 2490440196
5, 2689089164
5, 1552771171
5, 2492872370
5, 3282772177
5, 3072865914
5, 4787657588
5, 2233267333
5, 335456826
5, 125698298
5, 2453283553
5, 1849340558
5, 1354345220
5, 4914923525
5, 2983709180
5, 1401727034
5, 972080388
5, 2210122962
5, 177933192
5, 4780649956
5, 204583758
5, 301452959
5, 2492795058
5, 398197719
5, 1194908786
5, 3236201870
5, 4851400570
5, 4280535920
5, 559449936
5, 1714904532
5, 2490129446
5, 456726486
5, 707509969147461634
5, 1092658418
5, 2492819983
5, 1907413111
5, 3366632000
5, 1234794685
5, 710412076095672320
5, 3033014444
5, 2453750497
5, 2148802619
5, 4255739963
5, 3235261400
5, 3289341678
5, 491838627
5, 189013350
5, 4777431380
5, 226331115
5, 96550170
5, 2868850916
5, 3316377609
5, 4433059215
5, 560064062
5, 3054362652
5, 2493265693
5, 357993534
5, 2303234509
5, 2885555271
5, 1385684196
5, 3014205318
5, 171288762
5, 1093426033
5, 713214680366354434
5, 3035655324
5, 4690530895
5, 2492866692
5, 2934044222
5, 4701981560
5, 2492802254
5, 83073137
5, 2689614217
5, 2493260269
5, 4219298728
5, 715175695958183937
5, 1543018860
5, 4832760787
5, 1374598028
5, 2493253616
5, 2240686321
5, 713276571310645248
5, 2493294277
5, 143862389
5, 715213608259424256
5, 708258355500875776
5, 140228255
5, 2453277678
5, 496330847
5, 951261686
5, 501000986
5, 1097858449
5, 797890621
5, 364753629
5, 171102859
5, 3286629014
5, 949796570
5, 3128782494
5, 3292052215
5, 1312960207
5, 2486769984
5, 3244062085
5, 1571491532
5, 710061507015344128
5, 2453273784
5, 433460972
5, 2491329728
5, 2187221236
5, 973539018
5, 2902843728
5, 715097484821798912
5, 4841059229
5, 3283253156
5, 3223338601
5, 2491391864
5, 3925780159
5, 3245200327
5, 2887720303
5, 503916614
5, 343341807
5, 714566642936598528
5, 2493264301
5, 2695865689
5, 4682685854
5, 1150055538
5, 2420743387
5, 3146060738
5, 1960510519
5, 1889605788
5, 620031070
5, 3193753626
5, 4763306251
5, 2713126884
5, 703400638705696768
5, 604079850
5, 101901949
5, 4204665401
5, 918531522
