number of times mentioned, user ids, username(s)
1, 2390102748,quackenbush88
1, 796261392,andendall
1, 18686907,davidfrum
1, 3580248555,jpm05880
1, 702038489253158912,curiousvibe
1, 4042574434,billwnky
1, 20733972,reince
1, 37590426,halliejackson
1, 39344374,donaldjtrumpjr
1, 58569513,dprk_news
1, 403787129,karensanders7
1, 23012305,seanoconnz
1, 22799750,chriscuomo
1, 117200024,outdoorguy64
1, 255645890,natire2u
1, 720293443260456960,trump
1, 40847783,that_jd
1, 3060330596,virginia_girl57
1, 68698563,america_trump
1, 1363580378,fnthehalls
1, 10430722,joshcornfield
1, 3661168817,patriotthread
1, 1379288282,peddoc63
1, 261749735,steph93065
1, 334190707,vickistweet
1, 27311044,danaperino
1, 726464337510981633,datboimemes
1, 860160420,coleledford11
1, 2332354080,sandrasmithfox
1, 2167674121,carminezozzora
1, 310746442,otto_english
1, 320524842,thebubblebubble
1, 122455671,teapartyorg
1, 701725963,nowthisnews
1, 2858271148,mtoneyshae
1, 532690100,jwgop
1, 366819502,fredzeppelin12
1, 1656057482,cosproject
1, 3448846420,marypatriotnews
1, 3235222537,prowhitesunite
1, 3016071993,lifezette
1, 299790272,cnnashleigh
1, 14780915,rollingstone
1, 2321302628,terrimarsh11
1, 2467791,washingtonpost
1, 272114651,specialkmb1969
1, 31100329,alisterdoyle
1, 273861257,refdagopinie
1, 27168173,amandacarpente
1, 3100086245,polinconews
1, 200163987,healthandcents
1, 69329527,bbcnewsus
1, 2303751216,fivethirtyeight
1, 63612178,bettosupertramp
1, 4786763677,moveforwardhuge
1, 89820928,mitchellreports
1, 17626144,anacanapana
1, 3302207820,hram924
1, 19608273,milbank
1, 19091173,scrowder
1, 5988062,theeconomist
1, 28587919,thehermancain
1, 4706270920,thegopreport
1, 1050111,patrickruffini
1, 149315713,norsu2
1, 706601723067015171,pcr241
1, 11866582,lolgop
1, 3051822049,twozerosixgod
1, 157099071,puestoloco
1, 7155782,zenpundit
1, 271030180,citizensrock
1, 3420435673,stevebutcher13
1, 28696142,ipulleddatrigga
1, 13615722,s8n
1, 22162854,ppact
1, 16004747,fubaglady
1, 18956073,dcexaminer
1, 21696279,brianbeutler
1, 16190478,housecracka
