number of times tweeted, urls
203, twitter.com
22, www.spreaker.com
12, www.thegatewaypundit.com
10, www.salon.com
10, www.youtube.com
10, www.washingtonpost.com
9, www.breitbart.com
9, www.nytimes.com
5, thehill.com
4, fivethirtyeight.com
4, www.nationalreview.com
3, latino.foxnews.com
3, www.businessinsider.com
3, eleconomista.com.mx
3, bigstory.ap.org
3, www.rollingstone.com
3, www.redstate.com
3, linkis.com
3, amp.twimg.com
3, rsbn.tv
3, gopthedailydose.com
3, www.independent.co.uk
2, abcnews.go.com
2, news.nationalpost.com
2, www.ebay.com
2, www.foxnews.com
2, www.mediaite.com
2, thinkprogress.org
2, graphics.wsj.com
2, dcwhispers.com
2, www.dailykos.com
2, animarchive.tumblr.com
2, www.reuters.com
2, www.wbur.org
2, www.vox.com
1, nj1015.com
1, mediumpubliczne.pl
1, oglobo.globo.com
1, news.trust.org
1, www.hannity.com
1, infashionmode.com
1, www.washingtonexaminer.com
1, play.google.com
1, motto.time.com
1, www.washingtontimes.com
1, mediamatters.org
1, www.snappytv.com
1, www.ew.com
1, www.sheknows.com
1, www.wnky.com
1, clashdaily.com
1, www.lifenews.com
1, www.nydailynews.com
1, DCWhispers.com
1, www.marketwatch.com
1, www.thefrisky.com
1, houston.dotnewz.com
1, www.google.com
1, www.bloomberg.com
1, www.rmbinvestor.com
1, www.dailywire.com
1, www.lidoautobody.com
1, www.thenewamerican.com
1, thefederalist.com
1, can06.jkmesh.com
1, youtu.be
1, www.al.com
1, hotair.com
1, www.pbs.org
1, natl.re
1, nation.foxnews.com
1, www.theatlantic.com
1, www.prensa-latina.cu
1, canadafreepress.com
1, www.newsweek.com
1, www.politicsinfotoday.com
1, www.dailymail.co.uk
1, teapartyorg.ning.com
1, theamericanmirror.com
1, nyc.epeak.in
1, www.nbcnews.com
1, 2044.info
1, www.telegraph.co.uk
1, www.designntrend.com
1, vine.co
1, www.slate.com
1, www.glennbeck.com
1, stumpinfortrump.com
1, www.jihadwatch.org
1, newsflash365.com
1, www.cafepress.com
1, my.xfinity.com
1, conservativetribune.com
1, gunow.co.ve
1, archive.org
1, twitter.q6r.link
1, www.esquire.com
1, fusion.net
1, mashable.com
1, www.elcomercio.com
1, www.northjersey.com
1, yahoonewsdigest-us-extra.tumblr.com
1, periodicolapista.com.mx
1, www.democracynow.org
1, www.conservativereview.com
1, verysmartbrothas.com
1, talkingpointsmemo.com
1, www.elfinanciero.com.mx
1, www.rightwisconsin.com
1, www.politico.com
1, www.theguardian.com
1, www.rightwingwatch.org
1, www.teaparty.org
1, zon.it
1, www.lifezette.com
1, origins.osu.edu
1, www.ultimasnoticias.com.ve
1, plannedparenthoodaction.org
1, www.newsmax.com
1, patch.com
1, eldiariomexico.com
1, pjmedia.com
1, heaviermetal.net
1, www.thenewcivilrightsmovement.com
1, www.amny.com
