number of times tweeted, hashtag
30, trump2016
27, trump
18, trumptrain
16, maga
13, neverhillary
11, spreaker
9, nevertrump
8, tcot
8, donaldtrump
5, americafirst
4, ccot
4, crookedhillary
3, njprimary
3, feelthebern
2, makeamericagreatagain
2, dialibre
2, música
2, cdnpoli
2, panamacity
2, fot
2, usa
2, selfie
2, pasión
2, fashionstyle
2, alwaystrump
2, benghazi
2, pjnet
2, unify
2, cruzcrew
2, mall
2, anfitrión
2, caracas
2, mycampaignsloganwouldbe
2, modelo
2, northkorea
2, promotor
1, actualidad
1, losers4bernie
1, democraticprimaryelectionresults
1, asiapacific
1, handcuffhillary
1, sexism
1, startups
1, obama
1, ca
1, election2016
1, onlytrump
1, mdprimary
1, latinosfortrump
1, boilers
1, therealdonaldtrump
1, econarchive
1, purdue
1, 2a
1, sanders2016
1, bernie
1, tea
1, rassegna
1, orprimary
1, navo
1, election
1, votetrump2016
1, trending
1, fox
1, trump4president
1, gop
1, t
1, dtmag
1, never
1, tlot
1, womenfortrump
1, news
1, deprimary
1, climate
1, raretrump
1, neverhilliary
1, hypocrites
1, ctprimary
1, viewfromliberalbridge
1, top
1, uniteblue
1, toughness
1, hatecrimes
1, buildwall
1, kasich4us
1, antiwhite
1, whitegenocide
1, racism
1, twinsfortrump
1, nevertrumper
1, gay
1, kimjongun
1, nra
1, hillary
1, votetrump
1, megankelly
1, piersmorganmeetsdonaldtrump
1, us
1, socialism
1, babesfortrump
1, fashion
1, nraam
1, imwithher
1, cosproject
1, boilerup
1, breaking
1, gopdebate
1, zon
1, fight4america
1, sabias
1, stampa
1, keady
1, fascism
1, paprimary
1, inprimary
1, defensie
1, hillary2016
1, yallqaeda
1, trumpkelly
