total count,percent of total,activties count,percent of activities,tokens,n_gram
477,0.090221,447,0.894000,trump,1grams
423,0.080008,352,0.704000,https,1grams
119,0.022508,119,0.238000,donald,1grams
43,0.008133,43,0.086000,clinton,1grams
34,0.006431,29,0.058000,@realDonaldTrump,1grams
32,0.006053,32,0.064000,sanders,1grams
32,0.006053,32,0.064000,kelly,1grams
27,0.005107,27,0.054000,9qofrccwkf,1grams
27,0.005107,27,0.054000,@shotscrewbr,1grams
27,0.005107,26,0.052000,hillary,1grams
27,0.005107,27,0.054000,favorite,1grams
27,0.005107,27,0.054000,johnny,1grams
27,0.005107,27,0.054000,shahidi,1grams
26,0.004918,26,0.052000,even,1grams
24,0.004539,24,0.048000,#Trump2016,1grams
22,0.004161,22,0.044000,care,1grams
22,0.004161,22,0.044000,@WayneDupreeShow,1grams
22,0.004161,22,0.044000,6738,1grams
22,0.004161,20,0.040000,bernie,1grams
19,0.003594,19,0.038000,ivanka,1grams
18,0.003405,18,0.036000,#Trump,1grams
17,0.003215,17,0.034000,never,1grams
17,0.003215,17,0.034000,vote,1grams
17,0.003215,17,0.034000,#TrumpTrain,1grams
17,0.003215,16,0.032000,women,1grams
15,0.002837,15,0.030000,president,1grams
15,0.002837,15,0.030000,thinks,1grams
15,0.002837,15,0.030000,more,1grams
14,0.002648,13,0.026000,hitler,1grams
14,0.002648,14,0.028000,live,1grams
13,0.002459,13,0.026000,candidate,1grams
13,0.002459,13,0.026000,people,1grams
13,0.002459,13,0.026000,melania,1grams
13,0.002459,13,0.026000,#NeverHillary,1grams
13,0.002459,12,0.024000,anti,1grams
13,0.002459,13,0.026000,groper,1grams
13,0.002459,13,0.026000,#MAGA,1grams
13,0.002459,12,0.024000,party,1grams
12,0.002270,11,0.022000,supporters,1grams
12,0.002270,11,0.022000,good,1grams
11,0.002081,11,0.022000,agkzhce7ss,1grams
11,0.002081,10,0.020000,media,1grams
11,0.002081,11,0.022000,megyn,1grams
11,0.002081,11,0.022000,#spreaker,1grams
11,0.002081,11,0.022000,republican,1grams
10,0.001891,10,0.020000,votes,1grams
10,0.001891,10,0.020000,want,1grams
10,0.001891,10,0.020000,news,1grams
10,0.001891,8,0.016000,make,1grams
10,0.001891,9,0.018000,still,1grams
10,0.001891,10,0.020000,think,1grams
10,0.001891,10,0.020000,america,1grams
10,0.001891,10,0.020000,obama,1grams
10,0.001891,10,0.020000,@mitchellvii,1grams
10,0.001891,8,0.016000,look,1grams
10,0.001891,10,0.020000,problem,1grams
9,0.001702,9,0.018000,third,1grams
9,0.001702,8,0.016000,right,1grams
9,0.001702,9,0.018000,deal,1grams
9,0.001702,9,0.018000,everything,1grams
9,0.001702,9,0.018000,true,1grams
9,0.001702,9,0.018000,@Always_Trump,1grams
9,0.001702,9,0.018000,poll,1grams
9,0.001702,9,0.018000,really,1grams
9,0.001702,9,0.018000,guess,1grams
9,0.001702,9,0.018000,world,1grams
9,0.001702,9,0.018000,video,1grams
